iter	Passed	Remaining
407	5635	8177
408	5652	8167
409	5666	8154
410	5680	8141
411	5693	8126
412	5707	8111
413	5720	8096
414	5733	8081
415	5746	8066
416	5759	8051
417	5771	8036
418	5785	8021
419	5798	8007
420	5811	7992
421	5824	7977
422	5837	7962
423	5854	7953
424	5868	7939
425	5881	7924
426	5893	7909
427	5907	7894
428	5920	7879
429	5933	7865
430	5945	7849
431	5959	7835
432	5972	7821
433	5988	7810
434	6007	7803
435	6025	7794
436	6043	7786
437	6065	7782
438	6079	7768
439	6092	7753
440	6105	7738
441	6122	7728
442	6139	7719
443	6156	7709
444	6177	7704
445	6200	7702
446	6218	7693
447	6236	7684
448	6254	7675
449	6275	7670
450	6289	7655
451	6301	7640
452	6314	7625
453	6327	7610
454	6341	7595
455	6353	7580
456	6367	7566
457	6380	7550
458	6392	7534
459	6404	7518
460	6417	7503
461	6430	7488
462	6443	7472
463	6456	7458
464	6468	7442
465	6485	7432
466	6498	7416
467	6512	7402
468	6525	7387
469	6537	7372
470	6552	7359
471	6568	7348
472	6590	7343
473	6607	7332
474	6622	7319
475	6644	7314
476	6849	7510
477	6870	7502
478	6888	7492
479	6915	7491
480	6934	7482
481	6954	7473
482	6974	7465
483	6991	7453
484	7003	7436
485	7016	7421
486	7029	7405
487	7048	7395
488	7064	7382
489	7078	7367
490	7090	7350
491	7103	7334
492	7116	7318
493	7129	7303
494	7143	7288
495	7156	7272
496	7170	7256
497	7182	7240
498	7195	7224
499	7208	7208
500	7220	7191
501	7232	7175
502	7250	7164
503	7265	7150
504	7279	7135
505	7291	7118
506	7304	7102
507	7317	7087
508	7329	7070
509	7343	7055
510	7356	7039
511	7369	7024
512	7382	7008
513	7395	6992
514	7409	6977
515	7422	6961
516	7435	6946
517	7451	6933
518	7468	6921
519	7485	6910
520	7503	6898
521	7525	6891
522	7544	6880
523	7562	6869
524	7581	6859
525	7594	6844
526	7607	6827
527	7621	6813
528	7634	6797
529	7651	6784
530	7664	6769
531	7678	6754
532	7691	6738
533	7704	6723
534	7716	6707
535	7729	6691
536	7742	6675
537	7754	6659
538	7767	6643
539	7780	6627
540	7792	6611
541	7805	6596
542	7819	6580
543	7832	6565
544	7849	6553
545	7862	6537
546	7876	6522
547	7888	6506
548	7901	6491
549	7914	6475
550	7927	6460
551	7941	6444
552	7954	6429
553	7967	6414
554	7980	6399
555	7993	6383
556	8006	6368
557	8019	6352
558	8033	6337
559	8050	6325
560	8064	6310
561	8077	6295
562	8090	6279
563	8102	6263
564	8115	6248
565	8127	6232
566	8141	6217
567	8154	6202
568	8167	6186
569	8180	6170
570	8193	6155
571	8206	6140
572	8218	6124
573	8231	6108
574	8248	6096
575	8262	6081
576	8274	6066
577	8287	6050
578	8301	6035
579	8313	6020
580	8326	6004
581	8339	5989
582	8352	5974
583	8365	5958
584	8377	5943
585	8390	5927
586	8403	5912
587	8416	5897
588	8429	5881
589	8441	5866
590	8459	5854
591	8473	5840
592	8486	5824
593	8499	5809
594	8512	5794
595	8525	5778
596	8538	5763
597	8551	5748
598	8565	5733
599	8578	5718
600	8591	5703
601	8605	5689
602	8617	5673
603	8631	5658
604	8644	5643
605	8656	5628
606	8675	5616
607	8689	5602
608	8702	5587
609	8716	5573
610	8729	5558
611	8743	5543
612	8755	5527
613	8768	5512
614	8781	5497
615	8795	5482
616	8808	5467
617	8822	5453
618	8835	5438
619	8849	5423
620	8866	5411
621	8881	5397
622	8895	5382
623	8908	5368
624	8923	5353
625	8937	5339
626	8951	5324
627	8966	5311
628	8983	5298
629	9001	5286
630	9019	5274
631	9036	5261
632	9054	5249
633	9073	5237
634	9089	5224
635	9104	5210
636	9118	5196
637	9133	5182
638	9147	5167
639	9161	5153
640	9174	5138
641	9187	5123
642	9201	5109
643	9215	5094
644	9229	5079
645	9244	5065
646	9259	5052
647	9278	5039
648	9293	5025
649	9306	5011
650	9320	4996
651	9334	4982
652	9348	4967
653	9361	4952
654	9375	4938
655	9388	4923
656	9402	4908
657	9414	4893
658	9427	4878
659	9441	4863
660	9459	4851
661	9472	4836
662	9485	4821
663	9499	4806
664	9512	4791
665	9525	4777
666	9538	4762
667	9551	4746
668	9565	4732
669	9578	4717
670	9591	4703
671	9605	4688
672	9619	4674
673	9632	4659
674	9650	4646
675	9663	4631
676	9677	4617
677	9690	4602
678	9702	4587
679	9715	4572
680	9728	4556
681	9740	4541
682	9753	4526
683	9766	4511
684	9780	4497
685	9793	4482
686	9806	4468
687	9820	4453
688	9833	4438
689	9851	4426
690	9874	4415
691	9894	4404
692	9913	4391
693	9932	4379
694	9947	4365
695	9959	4350
696	9971	4334
697	9984	4320
698	9998	4305
699	10011	4290
700	10024	4275
701	10037	4261
702	10055	4248
703	10069	4233
704	10082	4218
705	10096	4204
706	10108	4189
707	10122	4174
708	10135	4159
709	10148	4145
710	10161	4130
711	10174	4115
712	10187	4100
713	10200	4085
714	10213	4071
715	10225	4056
716	10240	4041
717	10256	4028
718	10269	4013
719	10282	3998
720	10295	3983
721	10308	3969
722	10320	3954
723	10334	3939
724	10348	3925
725	10361	3910
726	10373	3895
727	10388	3881
728	10405	3868
729	10424	3855
730	10444	3843
731	10466	3832
732	10485	3819
733	10502	3805
734	10515	3791
735	10528	3776
736	10540	3761
737	10553	3746
738	10566	3731
739	10581	3717
740	10594	3703
741	10607	3688
742	10620	3673
743	10633	3658
744	10646	3643
745	10663	3630
746	10677	3616
747	10690	3601
748	10704	3587
749	10717	3572
750	10731	3557
751	10743	3543
752	10757	3528
753	10770	3513
754	10783	3499
755	10796	3484
756	10810	3470
757	10823	3455
758	10836	3440
759	10849	3426
760	10866	3412
761	10880	3398
762	10895	3384
763	10909	3369
764	10922	3355
765	10934	3340
766	10948	3326
767	10961	3311
768	10975	3296
769	10988	3282
770	11001	3267
771	11015	3253
772	11028	3238
773	11042	3224
774	11055	3209
775	11075	3196
776	11089	3182
777	11103	3168
778	11130	3157
779	11155	3146
780	11175	3133
781	11196	3121
782	11218	3109
783	11236	3095
784	11251	3081
785	11271	3068
786	11288	3055
787	11305	3041
788	11322	3028
789	11338	3014
790	11356	3000
791	11372	2986
792	11390	2973
793	11406	2959
794	11424	2945
795	11438	2931
796	11454	2917
797	11473	2904
798	11489	2890
799	11521	2880
800	11539	2866
801	11552	2852
802	11567	2837
803	11583	2823
804	11597	2809
805	11611	2794
806	11625	2780
807	11639	2765
808	11652	2751
809	11668	2736
810	11685	2723
811	11706	2710
812	11723	2696
813	11740	2682
814	11754	2668
815	11769	2653
816	11786	2640
817	11802	2626
818	11818	2611
819	11836	2598
820	11853	2584
821	11872	2570
822	11891	2557
823	11907	2543
824	11925	2529
825	11942	2515
826	11960	2501
827	11978	2488
828	11997	2474
829	12012	2460
830	12029	2446
831	12047	2432
832	12068	2419
833	12091	2406
834	12107	2392
835	12125	2378
836	12143	2364
837	12161	2351
838	12179	2337
839	12194	2322
840	12207	2308
841	12224	2293
842	12240	2279
843	12254	2265
844	12272	2251
845	12292	2237
846	12311	2223
847	12331	2210
848	12348	2196
849	12366	2182
850	12383	2168
851	12401	2154
852	12419	2140
853	12437	2126
854	12455	2112
855	12475	2098
856	12494	2084
857	12507	2069
858	12524	2055
859	12541	2041
860	12558	2027
861	12575	2013
862	12592	1999
863	12611	1985
864	12628	1970
865	12644	1956
866	12660	1942
867	12679	1928
868	12697	1914
869	12714	1899
870	12732	1885
871	12748	1871
872	12763	1856
873	12780	1842
874	12797	1828
875	12814	1813
876	12832	1799
877	12851	1785
878	12869	1771
879	12889	1757
880	12909	1743
881	12925	1729
882	12942	1714
883	12960	1700
884	12977	1686
885	12992	1671
886	13007	1657
887	13020	1642
888	13033	1627
889	13047	1612
890	13061	1597
891	13075	1583
892	13093	1568
893	13108	1554
894	13121	1539
895	13135	1524
896	13148	1509
897	13161	1495
898	13179	1480
899	13194	1466
900	13207	1451
901	13222	1436
902	13236	1421
903	13251	1407
904	13267	1392
905	13280	1377
906	13295	1363
907	13312	1348
908	13326	1334
909	13340	1319
910	13353	1304
911	13368	1289
912	13382	1275
913	13396	1260
914	13410	1245
915	13423	1231
916	13437	1216
917	13450	1201
918	13463	1186
919	13482	1172
920	13495	1157
921	13509	1142
922	13524	1128
923	13541	1113
924	13556	1099
925	13571	1084
926	13585	1069
927	13600	1055
928	13616	1040
929	13630	1025
930	13643	1011
931	13657	996
932	13673	981
933	13714	969
934	13741	955
935	13757	940
936	13775	926
937	13793	911
938	13811	897
939	13830	882
940	13849	868
941	13870	854
942	13887	839
943	13904	824
944	13923	810
945	13941	795
946	13956	781
947	13969	766
948	13987	751
949	14003	737
950	14019	722
951	14035	707
952	14052	693
953	14067	678
954	14083	663
955	14101	649
956	14120	634
957	14137	619
958	14155	605
959	14173	590
960	14190	575
961	14208	561
962	14223	546
963	14238	531
964	14251	516
965	14265	502
966	14279	487
967	14299	472
968	14316	458
969	14333	443
970	14351	428
971	14369	413
972	14385	399
973	14403	384
974	14420	369
975	14437	355
976	14456	340
977	14474	325
978	14492	310
979	14514	296
980	14535	281
981	14553	266
982	14572	252
983	14589	237
984	14606	222
985	14620	207
986	14634	192
987	14650	177
988	14665	163
989	14678	148
990	14691	133
991	14704	118
992	14723	103
993	14737	88
994	14751	74
995	14766	59
996	14778	44
997	14791	29
998	14804	14
999	14817	0
