iter	Logloss
0	0.618046687
1	0.5548827825
2	0.49897037
3	0.4478532591
4	0.4026607099
5	0.3685112781
6	0.339275958
7	0.3116071337
8	0.2841355164
9	0.2660361919
10	0.2463141747
11	0.2342125327
12	0.2196408427
13	0.2103554264
14	0.2010332423
15	0.1918393856
16	0.1856935734
17	0.180715817
18	0.1743061672
19	0.1697492941
20	0.165033144
21	0.160894015
22	0.1575468239
23	0.1550516727
24	0.1521109008
25	0.1498040718
26	0.1477556263
27	0.1458262732
28	0.1441600378
29	0.1431622902
30	0.1422669606
31	0.1410282625
32	0.1400554678
33	0.1391444935
34	0.1383042066
35	0.1375163946
36	0.1369612509
37	0.1365791176
38	0.1360262194
39	0.1356666463
40	0.1351408387
41	0.1347029764
42	0.1343730863
43	0.1340210403
44	0.133653076
45	0.1333844828
46	0.1331355509
47	0.1328736078
48	0.1326273681
49	0.132385015
50	0.1321437795
51	0.1319350491
52	0.1318781887
53	0.1317214701
54	0.1315657201
55	0.1314455146
56	0.1312861555
57	0.1311251143
58	0.1309749921
59	0.1308206129
60	0.130676107
61	0.1305772836
62	0.1304324821
63	0.1303204801
64	0.1302871963
65	0.1301666761
66	0.1300462691
67	0.129909146
68	0.1298195787
69	0.1296991109
70	0.1296569626
71	0.1295720268
72	0.1295266682
73	0.1294609725
74	0.1293560845
75	0.1292875245
76	0.1291815414
77	0.1291428426
78	0.1290794921
79	0.1289744083
80	0.1289202376
81	0.128829502
82	0.1287687178
83	0.1287266179
84	0.1286509196
85	0.1285979927
86	0.1285484614
87	0.1284854095
88	0.1284254331
89	0.1283846344
90	0.1283449426
91	0.1282941627
92	0.1282476106
93	0.1282143274
94	0.1281597737
95	0.1280758323
96	0.1279921035
97	0.1279649091
98	0.127922426
99	0.127902499
100	0.1278312389
101	0.1278008173
102	0.1277512168
103	0.1277321597
104	0.127679645
105	0.1276461589
106	0.1276204201
107	0.1275766475
108	0.1275662049
109	0.1275422887
110	0.127502479
111	0.127475869
112	0.1274485034
113	0.1274035766
114	0.1273872064
115	0.1273180706
116	0.1272737483
117	0.1272500725
118	0.1271998154
119	0.127191003
120	0.1271506036
121	0.1271005111
122	0.1270728322
123	0.1270110295
124	0.126984803
125	0.1269730089
126	0.1269467945
127	0.1269107849
128	0.1268551815
129	0.1268157778
130	0.1267773875
131	0.126748126
132	0.1267243283
133	0.1266986697
134	0.1266779595
135	0.1266289468
136	0.1266107831
137	0.1265689696
138	0.1265106585
139	0.1265004716
140	0.126480127
141	0.1264134426
142	0.1263911884
143	0.1263760751
144	0.1263426572
145	0.1263231224
146	0.1262890948
147	0.12624337
148	0.1262207217
149	0.1261440955
150	0.1260770654
151	0.1260563495
152	0.1260367647
153	0.1260156406
154	0.1259919613
155	0.1259725859
156	0.1259217697
157	0.125855143
158	0.1258457183
159	0.1258215353
160	0.125760657
161	0.1256903027
162	0.1256514692
163	0.1256131875
